INSTNM,CITY,STABBR,ZIP,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL
Wes Watkins Technology Center,Wetumka,OK,74883-6155,www.wwtech.org,35.233305,-96.266262,NULL,NULL
Technical Institute of Cosmetology Arts and Sciences,Tulsa,OK,74120-3610,www.ticas.edu,36.152552,-95.981314,NULL,NULL
York County School of Technology-Adult & Continuing Education,York,PA,17402-4696,www.ytech.edu,39.929887,-76.685449,NULL,NULL
Chester County Intermediate Unit,Downingtown,PA,19335,www.chestercountynursing.org,40.004075,-75.683428,0.5,NULL
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,PA,15851,www.jefftech.us,41.109573,-78.892532,1,NULL
Greater Johnstown Career and Technology Center,Johnstown,PA,15904-2998,www.gjctc.org,40.269577,-78.838152,NULL,NULL
Mifflin County Academy of Science and Technology,Lewistown,PA,17044-1697,www.theacademy.net,40.605321,-77.554092,0.75,NULL
Lenape Technical School Practical Nursing Program,Ford City,PA,16226,www.lenapepnp.net,40.767115,-79.5226,NULL,NULL
Venango County Area Vocational Technical School,Oil City,PA,16301,www.vtc1.org,41.428133,-79.691607,0.5636,NULL
Lancaster County Career and Technology Center,Willow Street,PA,17584,www.lancasterctc.edu,39.984597,-76.266243,NULL,NULL
Lebanon County Area Vocational Technical School,Lebanon,PA,17042,www.lcctc.edu,40.341562,-76.390376,NULL,NULL
Indiana County Technology Center,Indiana,PA,15701-1465,www.ictc.edu,40.644102,-79.126228,NULL,NULL
Northern Tier Career Center,Towanda,PA,18848-9731,www.ntccschool.org,41.80181,-76.485951,0.64,NULL
Clarion County Career Center Practical Nursing Program,Shippenville,PA,16254-8975,www.clarioncte.org,41.232585,-79.426753,0.8333,NULL
Hazleton Area Career Center,Hazle TWP.,PA,18202,www.hasdk12.org,40.972979,-75.992611,NULL,NULL
All-State Career School-Pittsburgh,West Mifflin,PA,15122,www.allstatecareer.edu/pitt.php,40.396915,-79.828242,NULL,NULL
Colegio Tecnologico y Comercial de Puerto Rico,Aguada,PR,00602-0960,ctcpr.edu,18.378655,-67.18411,NULL,NULL
Quality Technical and Beauty College,Bayamon,PR,961,www.qualitytechbeautycollege.com/net-price-calculator.html,18.41111,-66.15925,NULL,NULL
